Answer booklet,Examiner marks,AI evaluator marks,Variation
2505301001,73.0,70.0,3.0
2505301002,46.0,72.0,26.0
2505301003,52.0,66.0,14.0
2505301004,53.0,62.0,9.0
2505301005,17.0,10.0,7.0
2505301006,27.0,23.0,4.0
2505301007,29.0,28.0,1.0
2505301008,42.0,26.0,16.0
2505301009,61.0,38.0,23.0
2505301010,39.0,66.0,27.0
2505301011,30.0,17.0,13.0
2505301012,54.0,50.0,4.0
2505301013,44.0,43.0,1.0
2505301014,65.0,67.0,2.0
2505301015,20.0,29.0,9.0
2505301016,45.0,45.0,0.0
2505301017,34.0,26.5,7.5
2505301018,38.0,0.0,38.0
2505301019,26.0,32.0,6.0
2505301020,37.0,53.0,16.0
2505301021,54.0,86.0,32.0
2505301022,47.0,68.5,21.5
2505301023,35.0,66.5,31.5
2505301024,54.0,73.0,19.0
2505301025,12.0,21.5,9.5
2505301026,69.0,85.0,16.0
2505301027,38.0,59.0,21.0
2505301028,53.0,70.0,17.0
2505301029,51.0,70.5,19.5
2505301030,39.0,70.0,31.0
2505301031,47.0,0.0,47.0
2505301032,22.0,22.5,0.5
2505301033,52.0,56.5,4.5
2505301034,49.0,64.0,15.0
2505301035,20.0,36.5,16.5
2505301036,55.0,78.0,23.0
2505301037,70.0,70.0,0.0
2505301038,60.0,70.0,10.0
2505301039,27.0,71.0,44.0
2505301040,49.0,65.5,16.5
2505301041,60.0,56.0,4.0
2505301042,92.0,76.0,16.0
2505301043,84.0,81.0,3.0
2505301044,88.5,67.0,21.5
2505301045,41.0,34.0,7.0
2505301046,58.0,29.0,29.0
2505301047,93.0,84.5,8.5
2505301048,47.0,36.0,11.0
2505301049,45.0,35.0,10.0
2505301050,82.0,74.0,8.0
2505301051,97.0,86.0,11.0
2505301052,34.0,33.0,1.0
2505301053,38.0,27.0,11.0
2505301054,50.5,24.0,26.5
2505301055,95.0,89.0,6.0
2505301056,67.0,30.0,37.0
2505301057,96.5,87.5,9.0
2505301058,51.0,41.0,10.0
2505301059,44.0,23.0,21.0
2505301060,72.0,47.0,25.0
2505301061,33.0,31.5,1.5
2505301062,76.0,72.0,4.0
2505301063,21.5,21.5,0.0
2505301064,62.0,62.0,0.0
2505301065,47.0,0.0,47.0
2505301066,86.0,75.5,10.5
2505301067,64.0,69.5,5.5
2505301068,57.0,50.0,7.0
2505301069,73.0,61.0,12.0
2505301070,74.0,75.0,1.0
2505301071,78.0,87.25,9.25
2505301072,56.0,65.0,9.0
2505301073,52.0,44.5,7.5
2505301074,45.0,52.5,7.5
2505301075,37.0,0.0,37.0
2505301076,64.0,71.0,7.0
2505301077,87.0,75.5,11.5
2505301078,58.0,36.0,22.0
2505301079,88.0,81.0,7.0
2505301080,70.0,76.0,6.0
2505301081,62.0,30.0,32.0
2505301082,71.0,79.0,8.0
2505301083,75.0,82.0,7.0
2505301084,58.0,85.0,27.0
2505301085,57.0,72.5,15.5
2505301086,39.0,59.0,20.0
2505301087,50.5,53.0,2.5
2505301088,33.5,77.0,43.5
2505301089,75.0,59.0,16.0
2505301090,70.0,54.0,16.0
2505301091,51.0,74.0,23.0
2505301092,59.0,51.0,8.0
2505301093,64.5,64.0,0.5
2505301094,37.0,83.5,46.5
2505301095,70.0,75.0,5.0
2505301096,58.0,82.0,24.0
2505301097,49.0,54.0,5.0
2505301098,48.0,60.0,12.0
2505301099,74.0,95.0,21.0
2505301100,67.5,76.0,8.5
